Content ID,Answer 1,answer_tokenized,Status question,Next Event,Next Data,Version ID,Condition 1 Operator,Condition 1 Property,Condition 1 Value
conversation_start,"Hi. Welcome to ERHA, 

Terima kasih telah menghubungi WhatsApp resmi ERHA. Perkenalkan saya ELSA, Virtual Personal Assistant yang siap membantu kebutuhanmu hari ini.","['hi', 'welcome', 'to', 'erha', 'terima', 'kasih', 'hubung', 'whatsapp', 'resmi', 'erha', 'kenal', 'elsa', 'virtual', 'personal', 'assistant', 'bantu', 'butuh']",TRUE,goto,conversation_start:user_info,,,,
fallback_too_short,"Keyword yang dimasukkan tidak Elsa mengerti, silahkan ketik angka pilihan dibawah ini, agar Elsa dapat bantu.

1️⃣ Informasi klinik
2️⃣ Informasi produk
3️⃣ Informasi treatment
4️⃣ Jadwal dokter
5️⃣ Appointment
6️⃣ Delivery
7️⃣ Konsultasi online
8️⃣ Promo
9️⃣ Komplain
🔟 Home Service & Drivethru
0️⃣ Chat dengan agen","['keyword', 'elsa', 'erti', 'silah', 'ketik', 'angka', 'pilih', 'elsa', 'bantu', 'informasi', 'klinik', 'informasi', 'produk', 'informasi', 'treatment', 'jadwal', 'dokter', 'appointment', 'delivery', 'konsultasi', 'online', 'promo', 'komplain', 'home', 'service', 'drivethru', 'chat', 'agen']",TRUE,,,,INCLUDES,source,whatsapp
fallback_too_complex,"Keyword yang dimasukkan tidak Elsa mengerti, silahkan ketik angka pilihan dibawah ini, agar Elsa dapat bantu.

1️⃣ Informasi klinik
2️⃣ Informasi produk
3️⃣ Informasi treatment
4️⃣ Jadwal dokter
5️⃣ Appointment
6️⃣ Delivery
7️⃣ Konsultasi online
8️⃣ Promo
9️⃣ Komplain
🔟 Home Service & Drivethru
0️⃣ Chat dengan agen","['keyword', 'elsa', 'erti', 'silah', 'ketik', 'angka', 'pilih', 'elsa', 'bantu', 'informasi', 'klinik', 'informasi', 'produk', 'informasi', 'treatment', 'jadwal', 'dokter', 'appointment', 'delivery', 'konsultasi', 'online', 'promo', 'komplain', 'home', 'service', 'drivethru', 'chat', 'agen']",TRUE,,,,INCLUDES,source,whatsapp
fallback_too_complex_simplify,"Keyword yang dimasukkan tidak Elsa mengerti, silahkan ketik angka pilihan dibawah ini, agar Elsa dapat bantu.

1️⃣ Informasi klinik
2️⃣ Informasi produk
3️⃣ Informasi treatment
4️⃣ Jadwal dokter
5️⃣ Appointment
6️⃣ Delivery
7️⃣ Konsultasi online
8️⃣ Promo
9️⃣ Komplain
🔟 Home Service & Drivethru
0️⃣ Chat dengan agen","['keyword', 'elsa', 'erti', 'silah', 'ketik', 'angka', 'pilih', 'elsa', 'bantu', 'informasi', 'klinik', 'informasi', 'produk', 'informasi', 'treatment', 'jadwal', 'dokter', 'appointment', 'delivery', 'konsultasi', 'online', 'promo', 'komplain', 'home', 'service', 'drivethru', 'chat', 'agen']",TRUE,,,,INCLUDES,source,whatsapp
handover_livechat_agent_end,Terima kasih sudah menghubungi ERHA,"['terima', 'kasih', 'hubung', 'erha']",TRUE,,,,,,
handover_livechat_online,"Mohon menunggu, rekan Elsa akan segera membantu.","['tunggu', 'rekan', 'elsa', 'bantu']",FALSE,goto,handover_livechat_start,,,,
handover_stop_talking,"Anda sudah di live chat, mohon ditunggu, rekan Elsa akan segera membantu.","['live', 'chat', 'tunggu', 'rekan', 'elsa', 'bantu']",FALSE,,,,,,
handover_livechat_wait,"Mohon tunggu sebentar, Elsa sedang menghubungkanmu ke rekan yang sedang bertugas.","['tunggu', 'sebentar', 'elsa', 'hubung', 'rekan', 'tugas']",FALSE,,,,,,
handover_livechat_offline,Mohon maaf saat ini Elsa sedang di luar jam operasional. Kami butuh alamat emailmu agar rekan Elsa dapat menghubungimu pada pukul 08:00 - 19:00 WIB.,"['maaf', 'elsa', 'jam', 'operasional', 'butuh', 'alamat', 'email', 'rekan', 'elsa', 'hubung', 'wib']",FALSE,goto,handover_ask_email,,,,
handover_long_wait,"maaf, saat ini rekan Elsa sedang melayani customer lain, kami akan segera melayanimu.","['maaf', 'rekan', 'elsa', 'layan', 'customer', 'layan']",FALSE,,,,,,
